#Parameters = {R=50}
#"Wavelength / nm"	"Total RCS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
700.44966822430	23503.019693337
695.57414849188	25934.175994658
690.76603225806	28882.220587097
686.02393135011	32584.076659340
681.34649545455	37254.628341003
676.73241083521	43255.582696459
672.18039910314	51072.026437400
667.68921603563	61330.589874998
663.25765044248	74874.494637321
658.88452307692	92703.245091776
654.56868558952	115517.54979997
650.30901952278	142362.47530458
646.10443534483	169178.75410037
641.95387152034	187756.65808711
637.85629361702	190892.28763977
633.81069344609	178807.14250902
629.81608823529	158557.93102477
625.87151983299	137168.65472131
621.97605394191	118427.03963273
618.12877938144	103293.45827363
614.32880737705	91543.545288244
610.57527087576	82610.459404104
606.86732388664	75754.510785599
603.20414084507	70615.762636660
599.58491600000	66811.246328020
596.00886282306	64037.384031513
592.47521343874	62078.821306327
588.98321807466	60768.245066223
585.53214453125	59981.905354700
582.12127766990	59666.446028414
578.74991891892	59743.169205744
575.41738579655	60176.279960940
572.12301145038	60934.787952689
568.86614421252	62000.229586590
565.64614716981	63366.709787492
562.46239774859	65025.777046698
559.31428731343	66976.463610375
556.20122077922	69224.909882634
553.12261623616	71777.145668795
550.07790458716	74641.823755285
547.06652919708	77865.918015118
544.08794555354	81433.426593536
541.14162093863	85345.319494648
538.22703411131	89632.559625560
535.34367500000	94261.245355161
532.49104440497	99138.939199371
529.66865371025	104142.47301863
526.87602460457	109071.10757438
524.11268881119	113539.49551624
521.37818782609	117039.06324552
518.67207266436	118957.71247993
515.99390361446	118416.10444270
513.34325000000	114558.02936792
510.71968994889	107016.71527618
508.12281016949	95725.217770247
505.55220573356	82110.126890972
503.00747986577	68229.975467120
500.48824373957	56166.809591052
497.99411627907	47863.142378113
495.52472396694	43921.806058922
493.07970065789	37947.763951246
490.65868739771	27211.366704632
488.26133224756	18216.509645430
485.88729011345	12757.819810040
483.53622258065	9698.2306664201
481.20779775281	8091.8753590982
478.90169009585	7398.9773429144
476.61758028617	7338.3373241033
474.35515506329	7714.4603006795
472.11410708661	8383.0148770849
469.89413479624	9250.0996812359
467.69494227769	10303.990847708
465.51623913043	11448.213258097
463.35774034003	12645.946552114
461.21916615385	13871.666426543
459.10024196018	15138.353260016
457.00069817073	16441.764476674
454.92027010622	17731.949627760
452.85869788520	19004.824311258
450.81572631579	20259.487667832
448.79110479042	21543.566683224
446.78458718331	22844.290706223
444.79593175074	24143.115785418
442.82490103397	25450.808345605
440.87126176471	26758.137224087
438.93478477306	27972.778470889
437.01524489796	28785.842461209
435.11242089985	29148.489050601
433.22609537572	29531.535552768
431.35605467626	30207.055527875
429.50208882521	31215.941038725
427.66399144080	32683.434176880
425.84155965909	34635.645433375
424.03459405941	37219.005634918
422.24289859155	40493.998678523
420.46628050491	44259.635947838
418.70455027933	48276.566599151
416.95752155772	51557.635233326
415.22501108033	53694.485461425
413.50683862069	54878.217535116
411.80282692308	55439.960805910
410.11280164159	55639.265092341
408.43659128065	55542.925638623
406.77402713704	55246.180076740
405.12494324324	54748.010694202
403.48917631225	53992.175940110
401.86656568365	52894.872527506
400.25695327103	51363.740677778
398.66018351064	48243.326430178
397.07610331126	44141.594787777
395.50456200528	39603.139163928
393.94541130092	35231.735731739
392.39850523560	31619.421825503
390.86370013038	29099.949173888
389.34085454545	28047.043849767
387.82982923674	28552.443506476
386.33048711340	29545.611079238
384.84269319641	30652.630371510
#Parameters = {R=90}
#"Wavelength / nm"	"Total RCS [pw] (R=90) [Magnitude]"
#-----------------------------------------------------
788.92752105263	25500.584052329
782.74793211488	27676.219932330
776.66439896373	30243.558353184
770.67469922879	33312.045963299
764.77667857143	37073.736231896
758.96824810127	41717.726685615
753.24738190955	47517.133825886
747.61211471322	54934.681338406
742.06053960396	64597.785387283
736.59080589681	77239.938597302
731.20111707317	93916.317814131
725.88972881356	116015.66850473
720.65494711538	144367.66265022
715.49512649165	178149.54726888
710.40866824645	212741.20985348
705.39401882353	239053.44084558
700.44966822430	246070.49856479
695.57414849188	232850.91314981
690.76603225806	208310.86978624
686.02393135011	181032.60573381
681.34649545455	156679.45984987
676.73241083521	136847.87835375
672.18039910314	121472.61662641
667.68921603563	109883.76462333
663.25765044248	101205.17651074
658.88452307692	94728.923001900
654.56868558952	89929.028576116
650.30901952278	86483.247799549
646.10443534483	84082.598569381
641.95387152034	82565.434323163
637.85629361702	81768.924274387
633.81069344609	81586.064613450
629.81608823529	81940.321206865
625.87151983299	82782.792939484
621.97605394191	84063.566878883
618.12877938144	85764.131216785
614.32880737705	87859.876112853
610.57527087576	90355.486775987
606.86732388664	93253.711182627
603.20414084507	96551.764278360
599.58491600000	100263.87212766
596.00886282306	104407.35977267
592.47521343874	108970.44003526
588.98321807466	113954.00926407
585.53214453125	119350.43394426
582.12127766990	125078.90501744
578.74991891892	131059.20898415
575.41738579655	137122.24259904
572.12301145038	142952.14437396
568.86614421252	148165.78778457
565.64614716981	152182.86388237
562.46239774859	154153.02496785
559.31428731343	153193.80500658
556.20122077922	148428.40214546
553.12261623616	139609.50451516
550.07790458716	127109.57553294
547.06652919708	111855.65016023
544.08794555354	95971.776062266
541.14162093863	81943.143430807
538.22703411131	72814.099833810
535.34367500000	72591.004547060
532.49104440497	73332.861820728
529.66865371025	55107.142265438
526.87602460457	35843.339337926
524.11268881119	24367.541587254
521.37818782609	17784.861224045
518.67207266436	13893.467468440
515.99390361446	11683.832603489
513.34325000000	10616.719844876
510.71968994889	10317.757042745
508.12281016949	10558.544268928
505.55220573356	11188.961260862
503.00747986577	12090.480630339
500.48824373957	13180.372856721
497.99411627907	14410.448459909
495.52472396694	15732.180349818
493.07970065789	17111.588319886
490.65868739771	18526.692622609
488.26133224756	20040.342806635
485.88729011345	21593.874161190
483.53622258065	23151.507274253
481.20779775281	24712.576892728
478.90169009585	26314.749209322
476.61758028617	27977.635737432
474.35515506329	29701.461726607
472.11410708661	31547.380348860
469.89413479624	33623.880669385
467.69494227769	36192.715954981
465.51623913043	39107.565532894
463.35774034003	40904.085109567
461.21916615385	39470.548090406
459.10024196018	37442.749015327
457.00069817073	36899.293433604
454.92027010622	37307.750645637
452.85869788520	38301.453338761
450.81572631579	39825.188072356
448.79110479042	42162.300089283
446.78458718331	45732.874649238
444.79593175074	50875.210925631
442.82490103397	57534.537241884
440.87126176471	64701.945370458
438.93478477306	70703.540351323
437.01524489796	74283.625979035
435.11242089985	75746.558487588
433.22609537572	75941.451417938
431.35605467626	75556.129955018
429.50208882521	74938.339874617
427.66399144080	74213.655384041
425.84155965909	73526.765177391
424.03459405941	72856.915348553
422.24289859155	72148.485279470
420.46628050491	71330.425467520
418.70455027933	70129.525494522
416.95752155772	68476.329858482
415.22501108033	66275.685020045
413.50683862069	63395.689460510
411.80282692308	59763.821328175
410.11280164159	55422.025142091
408.43659128065	49545.411220538
406.77402713704	43564.834379345
405.12494324324	38296.907065974
403.48917631225	34299.508046017
401.86656568365	31789.278357640
400.25695327103	30643.054413397
398.66018351064	30862.205326776
397.07610331126	32041.224868904
395.50456200528	33541.897029101
393.94541130092	35030.780203117
392.39850523560	36355.664087203
390.86370013038	37490.918148721
389.34085454545	38775.199674879
387.82982923674	40416.971034330
386.33048711340	41934.185976326
384.84269319641	43119.007885163
#Parameters = {R=100}
#"Wavelength / nm"	"Total RCS [pw] (R=100) [Magnitude]"
#------------------------------------------------------
788.92752105263	173041.21620477
782.74793211488	214154.56121970
776.66439896373	257338.25821704
770.67469922879	291439.81837031
764.77667857143	303778.16874533
758.96824810127	290910.36885865
753.24738190955	262094.57486784
747.61211471322	229171.51227811
742.06053960396	199149.37255699
736.59080589681	174685.36736164
731.20111707317	155684.48957349
725.88972881356	141102.62163075
720.65494711538	130155.45089773
715.49512649165	122105.15590678
710.40866824645	116238.06657213
705.39401882353	111948.96274878
700.44966822430	109064.28031503
695.57414849188	107372.23571512
690.76603225806	106608.85476363
686.02393135011	106600.65959587
681.34649545455	107302.07380453
676.73241083521	108641.83132178
672.18039910314	110579.18311526
667.68921603563	113080.48190535
663.25765044248	116121.95883369
658.88452307692	119692.99970683
654.56868558952	123795.01995589
650.30901952278	128421.34999856
646.10443534483	133590.43097065
641.95387152034	139277.69016133
637.85629361702	145475.16789694
633.81069344609	152128.80953106
629.81608823529	159129.31258716
625.87151983299	166362.72916325
621.97605394191	173514.19007930
618.12877938144	180184.22941715
614.32880737705	185788.06465864
610.57527087576	189563.82793162
606.86732388664	190517.24575887
603.20414084507	187701.53054859
599.58491600000	180461.40955975
596.00886282306	168768.69982270
592.47521343874	153260.26057402
588.98321807466	135508.58478898
585.53214453125	117941.18002941
582.12127766990	104414.95999344
578.74991891892	100658.31386352
575.41738579655	112556.31911680
572.12301145038	111711.63741709
568.86614421252	76456.997447536
565.64614716981	48833.115312373
562.46239774859	33494.884181619
559.31428731343	24715.413274418
556.20122077922	19491.504329247
553.12261623616	16460.944771614
550.07790458716	14848.430929549
547.06652919708	14192.007515395
544.08794555354	14232.385100061
541.14162093863	14769.342748298
538.22703411131	15675.962032755
535.34367500000	16856.467057994
532.49104440497	18226.988655464
529.66865371025	19734.268826514
526.87602460457	21356.726580312
524.11268881119	23046.196611255
521.37818782609	24783.182761500
518.67207266436	26589.878591500
515.99390361446	28465.118476730
513.34325000000	30382.292102093
510.71968994889	32359.459209343
508.12281016949	34465.358657886
505.55220573356	36752.585097082
503.00747986577	39344.675686442
500.48824373957	42485.590109297
497.99411627907	46660.389887417
495.52472396694	52446.584358277
493.07970065789	58892.808456133
490.65868739771	58789.480856470
488.26133224756	50730.756229563
485.88729011345	45768.619204280
483.53622258065	44230.494662133
481.20779775281	43855.249103567
478.90169009585	44408.078363273
476.61758028617	45750.411793907
474.35515506329	47965.039593882
472.11410708661	51474.643109776
469.89413479624	56968.178837370
467.69494227769	65566.656764048
465.51623913043	76679.782862307
463.35774034003	87965.214228138
461.21916615385	96280.175425920
459.10024196018	100274.65748549
457.00069817073	100794.90036626
454.92027010622	99677.465947625
452.85869788520	98079.838738588
450.81572631579	96515.082961898
448.79110479042	95045.909465505
446.78458718331	93792.867914741
444.79593175074	92791.217372193
442.82490103397	91960.681511305
440.87126176471	91206.625911827
438.93478477306	90309.802980219
437.01524489796	89175.128816691
435.11242089985	87757.103252568
433.22609537572	85903.940522775
431.35605467626	83446.748436156
429.50208882521	80105.056255373
427.66399144080	75409.918067894
425.84155965909	69724.366057274
424.03459405941	63376.039019852
422.24289859155	56843.849592272
420.46628050491	50608.634420240
418.70455027933	44708.888225840
416.95752155772	40430.883294304
415.22501108033	38162.220910431
413.50683862069	37542.064388483
411.80282692308	38046.692803914
410.11280164159	39210.784337353
408.43659128065	40965.543247786
406.77402713704	42773.043496707
405.12494324324	44318.931414220
403.48917631225	45361.930559983
401.86656568365	45755.587152594
400.25695327103	45595.128602548
398.66018351064	45364.465612307
397.07610331126	46192.481940735
395.50456200528	48219.348921482
393.94541130092	50825.459602824
392.39850523560	53288.881973079
390.86370013038	55187.190095125
389.34085454545	56070.878142546
387.82982923674	55727.849429011
386.33048711340	54952.876140190
384.84269319641	54113.054991951
#Parameters = {R=110}
#"Wavelength / nm"	"Total RCS [pw] (R=110) [Magnitude]"
#------------------------------------------------------
788.92752105263	185787.69790730
782.74793211488	169748.72767738
776.66439896373	157894.66590267
770.67469922879	149239.59922902
764.77667857143	142948.17124931
758.96824810127	138634.10323754
753.24738190955	135919.93815931
747.61211471322	134491.48940884
742.06053960396	134162.35130571
736.59080589681	134803.70382013
731.20111707317	136299.27466255
725.88972881356	138569.15041311
720.65494711538	141575.57553441
715.49512649165	145296.28545361
710.40866824645	149696.32961160
705.39401882353	154832.35881901
700.44966822430	160663.99075190
695.57414849188	167074.23110997
690.76603225806	174089.64949561
686.02393135011	181779.89411745
681.34649545455	189978.05450731
676.73241083521	198515.19785854
672.18039910314	207081.99661560
667.68921603563	215211.74235755
663.25765044248	222275.22068950
658.88452307692	227420.90734058
654.56868558952	229549.61696783
650.30901952278	227546.37547167
646.10443534483	220436.45262655
641.95387152034	207909.89694122
637.85629361702	190591.45558590
633.81069344609	170346.61368559
629.81608823529	150390.51507995
625.87151983299	135531.68400988
621.97605394191	134329.09670490
618.12877938144	157162.47119787
614.32880737705	162856.21805546
610.57527087576	111077.56325964
606.86732388664	69916.524189383
603.20414084507	47545.176790464
599.58491600000	34915.124824273
596.00886282306	27393.156809795
592.47521343874	22898.399195233
588.98321807466	20332.772327513
585.53214453125	19077.808594787
582.12127766990	18765.031474194
578.74991891892	19125.107227506
575.41738579655	19980.849361064
572.12301145038	21196.418563286
568.86614421252	22685.382689484
565.64614716981	24392.840669635
562.46239774859	26247.115107885
559.31428731343	28215.986714929
556.20122077922	30286.891305729
553.12261623616	32435.423754957
550.07790458716	34664.087366995
547.06652919708	37030.838753241
544.08794555354	39539.878522331
541.14162093863	42267.117410097
538.22703411131	45396.539845950
535.34367500000	49190.908330216
532.49104440497	54147.032545729
529.66865371025	61297.164025775
526.87602460457	72431.571873295
524.11268881119	86457.884939636
521.37818782609	86070.533158362
518.67207266436	67990.319103422
515.99390361446	57042.005281581
513.34325000000	53771.001056393
510.71968994889	51482.110739290
508.12281016949	50628.071821311
505.55220573356	51172.594310932
503.00747986577	52712.502306862
500.48824373957	55422.235563466
497.99411627907	59937.428179033
495.52472396694	67145.541827529
493.07970065789	77819.270409086
490.65868739771	91596.672362381
488.26133224756	106637.58138528
485.88729011345	118129.56476580
483.53622258065	123709.79063145
481.20779775281	124674.41459541
478.90169009585	123179.61244071
476.61758028617	120776.34626442
474.35515506329	118377.78813361
472.11410708661	116301.82539734
469.89413479624	114610.20884786
467.69494227769	113211.06538467
465.51623913043	112167.79820498
463.35774034003	111405.63750035
461.21916615385	110788.15632328
459.10024196018	110159.75149080
457.00069817073	109483.40453125
454.92027010622	108660.12453113
452.85869788520	107542.50981042
450.81572631579	105960.25895497
448.79110479042	103490.67106663
446.78458718331	99893.203610357
444.79593175074	95224.783130341
442.82490103397	89696.245009015
440.87126176471	83632.027866281
438.93478477306	76347.962267386
437.01524489796	67687.941064652
435.11242089985	59514.812140821
433.22609537572	53500.621816482
431.35605467626	50075.189095145
429.50208882521	48802.134637431
427.66399144080	49200.070366789
425.84155965909	50738.605485461
424.03459405941	52869.265392607
422.24289859155	55213.692998839
420.46628050491	57464.961684578
418.70455027933	59330.998093702
416.95752155772	60086.768937446
415.22501108033	59176.455162221
413.50683862069	56653.048071503
411.80282692308	53457.489295807
410.11280164159	50906.470574352
408.43659128065	50010.680706139
406.77402713704	51671.038060379
405.12494324324	55173.736942024
403.48917631225	59341.270651809
401.86656568365	63195.163686534
400.25695327103	66275.342169624
398.66018351064	68760.663802166
397.07610331126	70021.920014806
395.50456200528	70264.058618391
393.94541130092	69717.499651281
392.39850523560	68623.647112979
390.86370013038	67285.838482202
389.34085454545	65674.484397273
387.82982923674	64516.670727771
386.33048711340	64062.186749163
384.84269319641	63927.837964791
#Parameters = {R=120}
#"Wavelength / nm"	"Total RCS [pw] (R=120) [Magnitude]"
#------------------------------------------------------
788.92752105263	165841.16291737
782.74793211488	168052.88629122
